p:dim_headlayers,p:global_attn_heads,p:hidden_dim,p:mpnn_type,p:num_conv_layers,p:num_headlayers,objective,job_id,job_status,m:timestamp_submit,m:some_info,m:dequed,m:timestamp_gather
32,2,24,PAINN,4,2,-0.00028152,139,DONE,3692.83757,some_value,frontier02028,3982.817276
64,2,8,PAINN,5,2,-0.00028354,157,DONE,4268.148915,some_value,frontier04598,4595.561944
32,4,24,PAINN,5,2,-0.00028759,138,DONE,3682.847119,some_value,frontier03572,4007.812079
32,4,4,PAINN,2,1,-0.00028971,137,DONE,3648.843114,some_value,frontier07168,3869.253509
32,4,16,PAINN,5,1,-0.00029252,133,DONE,3553.287759,some_value,frontier02156,3872.054215
64,2,8,PAINN,4,2,-0.00029714,148,DONE,3983.149976,some_value,frontier02028,4282.234028
32,2,4,PAINN,1,1,-0.00029816,109,DONE,2993.256038,some_value,frontier05756,3178.038956
64,2,24,EGNN,6,1,-0.00029909,28,DONE,638.8424544,some_value,frontier07168,918.2415702
64,2,8,PAINN,6,1,-0.00031004,115,DONE,3117.55122,some_value,frontier04598,3467.818272
64,4,4,PAINN,4,2,-0.00031064,60,DONE,1528.828073,some_value,frontier02028,1819.134822
32,2,12,EGNN,4,1,-0.00031246,5,DONE,0.05183506,some_value,frontier04598,243.4324467
32,2,32,PAINN,3,1,-0.00031656,82,DONE,2182.14744,some_value,frontier02156,2434.375197
32,4,32,PAINN,4,1,-0.00032758,78,DONE,2082.840328,some_value,frontier07168,2370.122719
32,4,12,PAINN,3,2,-0.00033693,3,DONE,0.05157733,some_value,frontier02286,261.436717
64,4,24,PAINN,4,1,-0.00034381,80,DONE,2141.503673,some_value,frontier02028,2430.535498
64,2,32,PAINN,2,1,-0.0003462,43,DONE,992.2729712,some_value,frontier06910,1210.188931
32,4,24,PAINN,1,1,-0.00034675,27,DONE,598.9719276,some_value,frontier05756,771.2635043
64,4,8,PAINN,3,1,-0.00034774,152,DONE,4173.178192,some_value,frontier06910,4595.562584
64,2,4,PAINN,4,1,-0.00034821,153,DONE,4184.959104,some_value,frontier01151,4595.563034
64,4,32,PAINN,6,2,-0.00035115,75,DONE,1941.813191,some_value,frontier04598,2294.174641
32,4,16,PNA,6,1,-0.00035293,13,DONE,225.7415469,some_value,frontier06910,553.04353
32,2,12,PAINN,5,1,-0.00035337,104,DONE,2855.29184,some_value,frontier03572,3174.282387
64,4,24,PAINN,6,2,-0.00037084,66,DONE,1699.166208,some_value,frontier05756,2052.807814
64,4,12,PAINN,6,1,-0.00037503,79,DONE,2111.388446,some_value,frontier01151,2468.518469
64,2,16,EGNN,6,2,-0.00037987,40,DONE,899.1898007,some_value,frontier02286,1176.60634
32,2,8,PAINN,2,1,-0.00038029,117,DONE,3160.361217,some_value,frontier06910,3377.877638
32,2,8,PAINN,4,1,-0.0003865,127,DONE,3405.78462,some_value,frontier02028,3692.679217
64,4,24,PAINN,5,1,-0.00040669,83,DONE,2204.321329,some_value,frontier06910,2521.638349
32,4,8,PAINN,4,1,-0.00040726,136,DONE,3648.307204,some_value,frontier02286,3936.14
64,4,8,PNA,5,2,-0.00041686,16,DONE,337.3532708,some_value,frontier07168,638.687937
32,2,24,PAINN,1,1,-0.000421,33,DONE,712.9022512,some_value,frontier02286,899.0462308
64,4,8,PAINN,2,1,-0.0004247,158,DONE,4276.636202,some_value,frontier02286,4595.563417
32,2,8,PAINN,3,2,-0.00042635,141,DONE,3789.032449,some_value,frontier04598,4042.574309
32,4,8,PAINN,6,1,-0.00042884,149,DONE,4007.96042,some_value,frontier03572,4595.56234
64,2,32,PAINN,3,1,-0.0004347,45,DONE,1050.005511,some_value,frontier04598,1301.979881
32,4,16,EGNN,1,1,-0.00043937,26,DONE,560.3455584,some_value,frontier05877,734.9259164
32,2,32,PAINN,5,2,-0.00044387,64,DONE,1607.559296,some_value,frontier03572,1929.270091
64,2,8,PAINN,2,1,-0.00045627,150,DONE,4042.734624,some_value,frontier04598,4267.986978
64,2,24,EGNN,5,1,-0.00047197,23,DONE,456.1103776,some_value,frontier02286,712.7300045
64,4,4,PAINN,6,1,-0.00048383,85,DONE,2294.321818,some_value,frontier04598,2645.999391
64,2,12,PAINN,1,1,-0.00052786,130,DONE,3463.489795,some_value,frontier07168,3648.685388
64,4,24,PAINN,5,2,-0.00053196,67,DONE,1702.364649,some_value,frontier05877,2024.034362
32,2,32,PAINN,2,1,-0.00053827,87,DONE,2377.133773,some_value,frontier05877,2596.74144
64,2,32,PAINN,6,2,-0.00054304,41,DONE,918.4297595,some_value,frontier07168,1274.298401
32,2,4,PAINN,6,1,-0.00054787,96,DONE,2612.753221,some_value,frontier02028,2965.968089
64,2,32,PAINN,4,2,-0.00055251,36,DONE,771.4521842,some_value,frontier05756,1058.242001
64,2,24,PAINN,5,1,-0.0005598,20,DONE,376.0970714,some_value,frontier02156,697.479867
64,2,12,PAINN,5,2,-0.00058373,74,DONE,1929.419276,some_value,frontier03572,2248.64751
64,2,8,EGNN,4,2,-0.00059309,17,DONE,360.3905549,some_value,frontier05756,598.8060758
32,2,24,PAINN,5,2,-0.00060143,144,DONE,3869.426795,some_value,frontier07168,4191.393824
64,4,12,PAINN,6,2,-0.00061215,72,DONE,1825.558588,some_value,frontier02156,2181.820298
64,4,24,PAINN,2,2,-0.00063297,98,DONE,2646.160351,some_value,frontier04598,2865.864231
64,2,24,EGNN,6,2,-0.00063879,37,DONE,772.5875735,some_value,frontier04598,1049.848925
32,2,16,PAINN,1,2,-0.0006473,62,DONE,1594.999596,some_value,frontier01151,1785.250954
64,4,8,PAINN,5,1,-0.00064964,94,DONE,2535.458009,some_value,frontier03572,2855.134933
32,4,24,PAINN,3,2,-0.00067053,124,DONE,3378.048688,some_value,frontier06910,3630.539693
64,4,12,PAINN,2,1,-0.00068189,119,DONE,3178.197841,some_value,frontier05756,3396.488073
64,4,16,PAINN,3,1,-0.00071645,121,DONE,3248.67095,some_value,frontier01151,3504.033053
64,2,16,PAINN,5,1,-0.00073215,22,DONE,451.9546936,some_value,frontier04598,772.3987198
64,4,24,PNA,2,2,-0.00074986,90,DONE,2434.534295,some_value,frontier02156,2645.085198
32,2,12,PAINN,1,2,-0.00077469,63,DONE,1604.984908,some_value,frontier07168,1794.368946
64,4,8,SchNet,6,2,-0.00078525,102,DONE,2749.742894,some_value,frontier02286,3025.097372
32,4,4,PAINN,6,2,-0.00078635,142,DONE,3818.302099,some_value,frontier06910,4173.03064
64,2,16,PAINN,6,1,-0.00080338,120,DONE,3201.004173,some_value,frontier02156,3553.118616
64,4,24,PNA,1,2,-0.00081525,89,DONE,2430.683847,some_value,frontier02028,2612.59796
64,4,12,PAINN,4,2,-0.00084381,56,DONE,1411.327782,some_value,frontier05756,1698.997541
32,2,12,PAINN,6,1,-0.00090894,114,DONE,3103.649518,some_value,frontier05877,3458.196533
